timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709034669321,711,HTTP Request,200,OK,Thread Group 1-1,text,true,,3478,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,155,0,83
1709034669321,164,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,155,0,83
1709034669489,543,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,2356,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,543,0,458
1709034670036,130,HTTP Request,200,OK,Thread Group 1-1,text,true,,3300,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034670036,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034670096,70,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,2178,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,70,0,0
1709034671345,381,HTTP Request,200,OK,Thread Group 1-2,text,true,,3478,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,124,0,59
1709034671345,124,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,124,0,59
1709034671470,256,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,2356,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,255,0,176
1709034671727,139,HTTP Request,200,OK,Thread Group 1-2,text,true,,3300,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709034671727,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,61,0,0
1709034671789,77,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,2178,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,77,0,0
1709034673486,425,HTTP Request,200,OK,Thread Group 1-3,text,true,,3478,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709034673486,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709034673605,306,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,2356,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,305,0,146
1709034673912,131,HTTP Request,200,OK,Thread Group 1-3,text,true,,3300,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034673912,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034673972,71,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,2178,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,71,0,0
1709034675629,345,HTTP Request,200,OK,Thread Group 1-4,text,true,,3478,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709034675629,118,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,118,0,59
1709034675749,225,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,2356,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,224,0,148
1709034675974,135,HTTP Request,200,OK,Thread Group 1-4,text,true,,3300,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,60,0,0
1709034675974,60,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,60,0,0
1709034676034,75,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,2178,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,74,0,0
1709034677772,349,HTTP Request,200,OK,Thread Group 1-5,text,true,,3478,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,59
1709034677772,119,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,119,0,59
1709034677892,229,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,2356,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,229,0,150
1709034678122,153,HTTP Request,200,OK,Thread Group 1-5,text,true,,3300,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034678122,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034678182,93,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,2178,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,92,0,0
1709034679915,351,HTTP Request,200,OK,Thread Group 1-6,text,true,,3478,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,66
1709034679915,125,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,125,0,66
1709034680041,225,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,2356,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,225,0,150
1709034680267,135,HTTP Request,200,OK,Thread Group 1-6,text,true,,3300,286,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034680267,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,1122,143,1,1,http://pyra.qaseralnjoom.com/api/game/game_info/1,59,0,0
1709034680326,76,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,2178,143,1,1,https://pyra.qaseralnjoom.com/api/game/game_info/1,76,0,0
